Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1987-0084-MDV,1987,84,,Natural,Hydrological,Flood,,,,Maldives,MDV,Southern Asia,Asia,,,,,Yes,,,,,Km2,,,,,1987,4.0,11.0,1987,4.0,11.0,,,300.0,,300.0,,,,,6000.0,14309.0,41.9327356221299,,,,
2007-0367-MDV,2007,367,SS-2007-000063,Natural,Hydrological,Flood,Coastal flood,,,Maldives,MDV,Southern Asia,Asia,"Gaafu Dhaalu, Dhaalu, Thaa, Laamu provinces",High tides,,,Yes,,,150.0,,Km2,,,,,2007,5.0,15.0,2007,5.0,17.0,,,1649.0,,1649.0,,,,,,,76.5186792040236,1,1908;1911;1916;1924,,"Dhaalu, Gaafu Dhaalu, Laamu, Thaa (Adm1)."
2019-0220-MDV,2019,220,,Natural,Hydrological,Flood,,,,Maldives,MDV,Southern Asia,Asia,"Haa Dhaal, Gaafu Alifu, Thaa, Laamu atolls",Monsoon floods,,,,,,,,Km2,,,,,2019,5.0,30.0,2019,6.0,8.0,,,1800.0,,1800.0,,,,,,,94.3490924994534,1,1910;1914;1916;1924,,"Gaafu Alifu, Haa Dhaalu, Laamu, Thaa (Adm1)."
