Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1999-0590-LVA,1999,590,,Natural,Meteorological,Storm,Extra-tropical storm,,Anatol,Latvia,LVA,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1999,12.0,4.0,1999,12.0,5.0,6.0,,,,,,,,,500.0,813.0,61.473667176908,,,,
2005-0011-LVA,2005,11,,Natural,Meteorological,Storm,Extra-tropical storm,,Erwin,Latvia,LVA,Northern Europe,Europe,"Aizkraukles, Aluksnes, Balvu, Bauskas, Cesu, Daugavpils, Dobeles, Gulbenes, Jekabpils, Jelgavas, Kraslavas, Kuldigas, Liepajas, Limbazu, Ludzas, Madonas, Ogres, Preilu, Rezeknes, Rigas, Saldus, Talsu, Tukuma, Valkas, Valmieras, Ventspils provinces",,,,,,,,,Kph,,,,,2005,1.0,8.0,2005,1.0,9.0,,,,,,,,40000.0,55501.0,325000.0,450942.0,72.0714104526569,1,1771;1772;1773;1774;1775;1776;1777;1778;1779;1780;1781;1782;1783;1784;1785;1786;1787;1788;1789;1790;1791;1792;1793;1794;1795;1796,,"Aizkraukles, Aluksnes, Balvu, Bauskas, Cesu, Daugavpils, Dobeles, Gulbenes, Jekabpils, Jelgavas, Kraslavas, Kuldigas, Liepajas, Limbazu, Ludzas, Madonas, Ogres, Preilu, Rezeknes, Rigas, Saldus, Talsu, Tukuma, Valkas, Valmieras, Ventspils (Adm1)."
2005-0069-LVA,2005,69,,Natural,Meteorological,Storm,,,,Latvia,LVA,Northern Europe,Europe,"Aizkraukles, Aluksnes, Balvu, Bauskas, Cesu, Daugavpils, Dobeles, Gulbenes, Jekabpils, Jelgavas, Kraslavas, Kuldigas, Liepajas, Limbazu, Ludzas, Madonas, Ogres, Preilu, Rezeknes, Rigas, Saldus, Talsu, Tukuma, Valkas, Valmieras, Ventspils provinces",,,,,,Yes,,144.0,Kph,,,,,2005,1.0,9.0,2005,1.0,9.0,,,,,,,,,,,,72.0714104526569,1,1771;1772;1773;1774;1775;1776;1777;1778;1779;1780;1781;1782;1783;1784;1785;1786;1787;1788;1789;1790;1791;1792;1793;1794;1795;1796,,"Aizkraukles, Aluksnes, Balvu, Bauskas, Cesu, Daugavpils, Dobeles, Gulbenes, Jekabpils, Jelgavas, Kraslavas, Kuldigas, Liepajas, Limbazu, Ludzas, Madonas, Ogres, Preilu, Rezeknes, Rigas, Saldus, Talsu, Tukuma, Valkas, Valmieras, Ventspils (Adm1)."
